module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Refactor Radar,rrd-setup,Setup Refactor Radar,SU,"Register the module and confirm codebase-memory-mcp is reachable.",configure,[-H],anytime,,,false,{project-root}/_bmad/rrd,config.yaml
Refactor Radar,rrd-agent-radar,Talk to Ray,RAY,"Refactor Detective persona/router — dispatches to the five detection workflows.",activate,[],anytime,rrd-setup,,false,,
Refactor Radar,rrd-establish-execution-baseline,Establish Execution Baseline,EB,"Get any test suite from zero to N genuine execution runs, diagnosing and fixing environment/discovery blockers along the way. Standalone, or an automatic prerequisite for Analyze Test Reliability.",establish-execution-baseline,[project][run_count],1-analyze-logs,rrd-setup,rrd-analyze-test-reliability,false,target project .refactor-radar-logs/ + proposals/,manifest.json (format/run-count/excluded-dimensions/fixes) + preserved runs + diff proposals
Refactor Radar,rrd-analyze-test-reliability,Analyze Test Reliability,TR,"Classify false positives (flaky tests) and false negatives (tests that pass without really checking anything) from execution logs across multiple runs. Generalizes across JUnit/Surefire XML, Playwright JSON, and Jenkins console logs.",analyze-test-reliability,[project][log-sources],1-analyze-logs,rrd-setup,rrd-establish-execution-baseline,false,proposals/ in target project + {rrd_artifacts},findings (Real Failure/False Positive/False Negative/Healthy) + diff proposals
Refactor Radar,rrd-detect-dependencies,Detect Dependencies,DD,"Find test-to-test coupling and cascade risk from shared fixtures, order-dependence, or shared live app/data state.",detect-dependencies,[project],2-refactor-best-practices,rrd-setup,,false,proposals/ in target project,findings + diff proposals
Refactor Radar,rrd-detect-instability,Detect Instability,DI,"Find fragile selectors, fixed waits, and unhandled overlays/dialogs, corroborated against logs when available.",detect-instability,[project],2-refactor-best-practices,rrd-setup,,false,proposals/ in target project,findings + diff proposals
Refactor Radar,rrd-detect-data-issues,Detect Data Issues,DT,"Find shared/non-reusable test data and missing setup/teardown lifecycle gaps.",detect-data-issues,[project],2-refactor-best-practices,rrd-setup,,false,proposals/ in target project,findings + diff proposals
Refactor Radar,rrd-detect-duplication,Detect Duplication,DU,"Find structurally similar or duplicate code via the knowledge graph's SIMILAR_TO similarity edges.",detect-duplication,[project],2-refactor-best-practices,rrd-setup,,false,proposals/ in target project,findings + diff proposals
Refactor Radar,rrd-detect-complexity,Detect Complexity,DC,"Find high-complexity/cognitive-load hotspots, hidden O(n^2) scans, and unguarded recursion via graph complexity metrics. Generalizes beyond test suites to any codebase.",detect-complexity,[project],2-refactor-best-practices,rrd-setup,,false,proposals/ in target project,findings + diff proposals
Refactor Radar,rrd-detect-logging,Detect Logging,DL,"Find diagnosability gaps — silent catches, exception-dropping logs, unlogged external calls/loop failure paths — that block future root-cause analysis. Generalizes beyond test suites to any codebase.",detect-logging,[project],2-refactor-best-practices,rrd-setup,,false,proposals/ in target project,findings + diff proposals
Refactor Radar,rrd-audit-all,Audit All,AA,"Run all six detectors against a project and produce one consolidated HTML report ranked by estimated impact.",audit-all,[project],2-refactor-best-practices,rrd-setup,,false,proposals/ in target project,HTML audit report + diff proposals
Refactor Radar,rrd-apply-and-verify,Apply and Verify,AV,"Apply a chosen proposal diff to the target project for real and run its test suite to confirm the result. The only capability that edits source directly, invoked explicitly by the owner.",apply-and-verify,[project],anytime,rrd-setup,rrd-detect-dependencies|rrd-detect-instability|rrd-detect-data-issues|rrd-detect-duplication|rrd-detect-complexity|rrd-detect-logging|rrd-analyze-test-reliability|rrd-establish-execution-baseline|rrd-audit-all,false,target project source + {rrd_artifacts},applied source changes + real test-report results
