id,name,description,tags,tier,fragment_file
evidence-and-diff-discipline,Evidence and Diff Discipline,"Shared Investigation Contract: cite evidence for every finding, propose diffs only in target project's proposals/, resolve target project first","discipline,evidence,diffs,contract",core,knowledge/evidence-and-diff-discipline.md
detect-dependencies,Detect Dependencies Heuristics,"Coupling shapes (shared fixture, order-dependence, shared live state), 47% root-cause share, thoroughness bias","dependencies,coupling,cascade,fixtures",core,knowledge/detect-dependencies.md
detect-instability,Detect Instability Heuristics,"Fragile selectors, fixed waits/timeouts, unhandled overlays, log-correlated confidence, 18% root-cause share","instability,selectors,waits,flakiness",core,knowledge/detect-instability.md
detect-data-issues,Detect Data Issues Heuristics,"Shared/non-reusable test data, lifecycle gaps, hardcoded credentials/URLs, 17% root-cause share","data,lifecycle,fixtures,collisions",core,knowledge/detect-data-issues.md
detect-duplication,Detect Duplication Heuristics,"Structural graph similarity, similarity scoring, factor-out proposals, 18% root-cause share","duplication,similarity,maintenance",core,knowledge/detect-duplication.md
detect-complexity,Detect Complexity Heuristics,"Graph complexity properties (cyclomatic, cognitive, loop depth, linear scans in loops, unguarded recursion), thresholds, cross-detector corroboration","complexity,cognitive,maintainability,hotspots",core,knowledge/detect-complexity.md
detect-logging,Detect Logging Heuristics,"Diagnosability gaps: silent catches, exception-dropping logs, unlogged external calls, unlogged loop failure paths — instrumentation for future root-cause analysis","logging,diagnosability,instrumentation,root-cause",core,knowledge/detect-logging.md
detect-config,Detect Config Heuristics,"Hardcoded URLs/credentials/secrets, inline env-switch logic, hardcoded timeouts, unsafe parallel-execution config","config,environment,secrets,parallelization",core,knowledge/detect-config.md
detect-locators,Detect Locators Heuristics,"Locator-strategy gaps: duplicated selectors, absent priority tiering, missing centralized element repository, distinct from raw selector fragility","locators,selectors,page-objects,strategy",core,knowledge/detect-locators.md
detect-layering,Detect Layering Heuristics,"Layer separation (tests/pages/components/data/utils/config/reporting), cross-layer violations, naming-convention consistency — prevention not cure","layering,architecture,naming,structure",core,knowledge/detect-layering.md
evidence-verification-guide,Evidence Verification Guide,"How an owner independently re-verifies graph evidence via the raw SQLite index, bypassing the MCP tool layer","verification,evidence,sqlite,audit",core,knowledge/evidence-verification-guide.md
audit-all-report,Audit All Report Format,"Consolidated ranked HTML report template grouped by root-cause family, one HTML file per audit","audit,report,html,ranking",core,knowledge/audit-all-report.md
finding-and-correlation-model,Finding and Correlation Data Model,"Phase 1+2 data structures: Finding (raw detector output), Correlation (metadata linking findings), confidence hierarchy","model,data,structure,phase-1,phase-2",core,knowledge/finding-and-correlation-model.md
evidence-fusion-heuristics,Evidence Fusion Heuristics,"Phase 1+2 rules for detecting correlations: Strong (same target + graph/root-cause/execution), Medium (same component/graph-neighbor/family), Weak (semantic only)","fusion,correlation,heuristics,phase-1,phase-2",core,knowledge/evidence-fusion-heuristics.md
opportunity-and-impact-model,Opportunity and Impact Data Model,"Phase 3 data structures: Opportunity (grouped findings), Impact (graph traversal with weighted transitive), Risk, Effort, Priority","model,data,structure,phase-3,opportunity,impact",core,knowledge/opportunity-and-impact-model.md
opportunity-grouping-and-impact-heuristics,Opportunity Grouping and Impact Analysis Heuristics,"Phase 3 algorithms: Union-Find for opportunity grouping, 2-3 hop weighted graph traversal, risk/effort/confidence/priority calculations","grouping,impact,heuristics,phase-3,opportunity",core,knowledge/opportunity-grouping-and-impact-heuristics.md
